sex,Predicted_age,Weekday,TimeOfDay,mean
F,18,Saturday,Night,65.0
F,18,Thursday,Eve,65.0
F,19,Thursday,Eve,65.0
F,19,Thursday,Night,10.0
F,19,Wednesday,Night,52.0
F,20,Friday,Night,65.0
F,20,Thursday,Night,37.5
F,20,Tuesday,Night,17.0
F,21,Monday,Eve,65.0
F,21,Thursday,Noon,94.0
F,21,Wednesday,Eve,65.0
F,22,Sunday,Night,66.0
F,22,Sunday,Noon,66.0
F,22,Wednesday,Night,65.0
F,23,Friday,Eve,65.0
F,23,Saturday,Night,65.0
F,24,Monday,Morning,65.0
F,24,Sunday,Noon,66.0
F,24,Tuesday,Eve,65.0
F,25,Friday,Eve,65.0
F,25,Monday,Eve,65.0
F,25,Monday,Morning,65.0
F,25,Monday,Night,46.666666666666664
F,25,Saturday,Morning,77.0
F,25,Saturday,Night,65.0
F,25,Sunday,Eve,65.0
F,25,Thursday,Eve,65.0
F,25,Thursday,Night,53.333333333333336
F,25,Thursday,Noon,65.0
F,25,Tuesday,Night,65.0
F,25,Wednesday,Eve,58.0
F,25,Wednesday,Night,65.0
F,25,Wednesday,Noon,52.0
F,26,Friday,Eve,56.8235294117647
F,26,Friday,Morning,55.666666666666664
F,26,Friday,Night,57.25
F,26,Friday,Noon,55.18181818181818
F,26,Monday,Eve,61.5
F,26,Monday,Morning,46.57142857142857
F,26,Monday,Night,54.18181818181818
F,26,Monday,Noon,49.57142857142857
F,26,Saturday,Eve,55.833333333333336
F,26,Saturday,Morning,47.0
F,26,Saturday,Night,68.19047619047619
F,26,Saturday,Noon,57.25
F,26,Sunday,Eve,61.0
F,26,Sunday,Morning,64.45454545454545
F,26,Sunday,Night,64.27272727272727
F,26,Sunday,Noon,61.625
F,26,Thursday,Eve,65.2
F,26,Thursday,Morning,48.125
F,26,Thursday,Night,61.31428571428572
F,26,Thursday,Noon,55.4
F,26,Tuesday,Eve,62.9
F,26,Tuesday,Morning,41.5
F,26,Tuesday,Night,58.96666666666667
F,26,Tuesday,Noon,52.23076923076923
F,26,Wednesday,Eve,55.1578947368421
F,26,Wednesday,Morning,43.111111111111114
F,26,Wednesday,Night,63.705882352941174
F,26,Wednesday,Noon,59.9
F,27,Friday,Eve,54.54545454545455
